name,mass,radius,orbital_period,discovered,detection_type,star_name,ra,dec,star_distance,star_mass,star_radius
 OGLE-2016-BLG-1469L b,13.6,,,2017,Microlensing,OGLE-2016-BLG-1469L,271.945750016,-26.2898888998,4500.0,0.048,
11 Com b,19.4,,326.03,2008,Radial Velocity,11 Com,185.1791667,17.7927778,110.6,2.7,19.0
11 Oph b,21.0,,730000.0,2007,Imaging,11 Oph,245.6041667,-24.0872222,145.0,0.0162,
11 UMi b,10.5,,516.22,2009,Radial Velocity,11 UMi,229.275,71.8238889,119.5,1.8,24.08
14 And b,5.33,,185.84,2008,Radial Velocity,14 And,352.8208333,39.2361111,76.4,2.2,11.0
14 Her b,4.64,,1773.4,2002,Radial Velocity,14 Her,242.5958333,43.8216667,18.1,0.9,0.708
16 Cyg B b,1.68,,799.5,1996,Radial Velocity,16 Cyg B,295.4625,50.5175,21.41,1.01,0.98
18 Del b,10.3,,993.3,2008,Radial Velocity,18 Del,314.6083333,10.8391667,73.1,2.3,8.5
1I/2017 U1,,"0,000002",,2017,Imaging,Sun,0.0,0.0,,1.0,1.0
1RXS 1609 b,14.0,1.7,,2008,Imaging,1RXS1609,242.375,-21.0827778,145.0,0.73,1.35
1SWASP J1407 b,20.0,,3725.0,2012,Primary Transit,1SWASP J1407,211.950000016,-39.761944469,133.0,0.9,0.99
24 Sex b,1.99,,452.8,2010,Radial Velocity,24 Sex,155.8666667,0.9022222,74.8,1.54,4.9
24 Sex c,0.86,,883.0,2010,Radial Velocity,24 Sex,155.8666667,0.9022222,74.8,1.54,4.9
2M 0103-55 (AB) b,13.0,,,2013,Imaging,2M 0103-55 (AB),15.9,-55.2656,47.2,0.4,
2M 0122-24 b,20.0,1.0,,2013,Imaging,2M 0122-24,20.7125,-24.6142,36.0,0.4,
2M 0219-39 b,13.9,1.44,,2015,Imaging,2M 0219-39,34.841666674,-39.423055569,39.4,0.11,0.27
2M 0441+23 b,7.5,,,2010,Imaging,2M 0441+23,70.4375,23.0308333,140.0,0.02,
2M 0746+20 b,30.0,0.97,4640.0,2010,Imaging,2M 0746+20,116.6791667,20.0088889,12.21,0.12,0.089
2M 1207-39,24.0,,,2001,Imaging,2M 1207-39,181.8875,-39.5483333,52.4,0.025,
2M 1207-39 b,4.0,,,2004,Imaging,2M 1207-39,181.8875,-39.5483333,52.4,0.025,
2M 1938+46 b,1.9,,416.0,2015,Pulsar,2M  1938+46,294.637500011,46.066388903,,0.6,
2M 2140+16 b,20.0,0.92,7340.0,2010,Imaging,2M 2140+16,325.1208333,16.4216667,25.0,0.08,0.1
2M 2206-20 b,30.0,1.3,8686.0,2010,Imaging,2M 2206-20,331.5958333,-20.785,26.67,0.13,0.11
2M 2236+4751 b,12.5,,,2016,Imaging,2M 2236+4751,339.104166675,47.861944471,63.0,0.6,
2M J2126-81 b,13.3,,,2016,Imaging,TYC 9486-927-1,321.366666676,-81.64111113,24.75,0.4,
2MASS J11193254 AB,3.7,,32850.0,2017,Imaging,2MASS J11193254 AB,169.885595844,-11.6296389116,,,
30 Ari B b,9.88,,335.1,2009,Radial Velocity,30 Ari B,39.2416667,24.6480556,39.4,1.22,1.23
38 Vir b,4.51,,825.9,2016,Primary Transit,38 Vir,193.296489462,-3.55309929126,,1.18,1.45
4 Uma b,7.1,,269.3,2007,Radial Velocity,4 Uma,130.0541667,64.3280556,78.5,1.234,
42 Dra b,3.88,,479.1,2009,Radial Velocity,42 Dra,276.4958333,65.5636111,97.3,0.98,22.03
47 Uma b,2.53,,1078.0,1996,Radial Velocity,47 Uma,164.8708333,40.4294444,13.97,1.03,1.24
47 Uma c,0.54,,2391.0,2001,Radial Velocity,47 Uma,164.8708333,40.4294444,13.97,1.03,1.24
47 Uma d,1.64,,14002.0,2010,Radial Velocity,47 Uma,164.8708333,40.4294444,13.97,1.03,1.24
51 Eri b,9.1,1.11,14965.0,2015,Imaging,51 Eri,69.4005514287,-2.47354859817,29.4,1.75,
51 Peg b,0.47,1.9,4.2308,1995,Radial Velocity,51 Peg,344.3625,20.7686111,14.7,1.11,1.266
55 Cnc b,0.84,,14.65314,1996,Radial Velocity,55 Cnc,133.1541667,28.3338889,12.34,0.905,0.943
55 Cnc c,0.1784,,44.373,2002,Radial Velocity,55 Cnc,133.1541667,28.3338889,12.34,0.905,0.943
55 Cnc d,3.86,,4867.0,2002,Radial Velocity,55 Cnc,133.1541667,28.3338889,12.34,0.905,0.943
55 Cnc e,0.02547,0.177536225419,0.7365478,2004,Primary Transit,55 Cnc,133.1541667,28.3338889,12.34,0.905,0.943
55 Cnc f,0.1479,,260.91,2007,Radial Velocity,55 Cnc,133.1541667,28.3338889,12.34,0.905,0.943
6 Lyn b,69.0,,899.0,2008,Radial Velocity,6 Lyn,97.6958333,58.1627778,56.9,1.7,5.2
61 Vir b,0.016,,4.215,2009,Radial Velocity,61 Vir,199.6,-18.3111111,8.52,0.95,0.94
61 Vir c,0.0573,,38.021,2009,Radial Velocity,61 Vir,199.6,-18.3111111,8.52,0.95,0.94
61 Vir d,0.072,,123.01,2009,Radial Velocity,61 Vir,199.6,-18.3111111,8.52,0.95,0.94
7 CMa b,2.46,,796.0,2011,Radial Velocity,7 CMa,99.1708333,-19.2558333,19.75,1.52,2.3
70 Vir b,6.6,,116.67,1996,Radial Velocity,70 Vir,202.1083333,13.7866667,22.0,0.92,1.968
75 Cet b,3.0,,691.9,2012,Radial Velocity,75 Cet,38.0375,-1.035,81.5,2.49,10.5
8 Umi b,1.5,,93.4,2015,Radial Velocity,8 Umi,224.200000016,74.900833352,159.1,1.8,9.9
81 Cet b,5.3,,952.7,2008,Radial Velocity,81 Cet,39.425,-3.3961111,97.2,2.4,11.0
91 Aqr b,3.2,,181.4,2003,Radial Velocity,91 Aqr,348.9708333,-9.0875,45.9,1.4,11.0
AB Pic b,13.5,,,2005,Imaging,AB Pic,94.8,-58.0541667,47.3,,
AS 205 A b,19.25,,24.84,2017,Radial Velocity,AS 205A,242.879166677,-18.640277796,140.0,0.9,3.7
Aldebaran b,6.47,,628.96,1998,Radial Velocity,Aldebaran,68.9791667,16.5091667,20.43,1.13,45.1
BD+03 2562 b,6.4,,481.9,2017,Radial Velocity,BD+03 2562,177.564802922,2.76013113422,2618.0,1.14,32.35
BD+14 4559 b,1.47,,268.94,2009,Radial Velocity,BD+14 4559,318.4,14.6894444,50.0,0.86,
BD+15 2375 b,1.06,,153.22,2016,Radial Velocity,BD+15 2375,176.483333352,14.616388914,774.0,1.08,8.95
BD+15 2940 b,1.11,,137.48,2013,Radial Velocity,BD+15 2940,240.0958,15.5469,585.0,1.1,14.7
BD+20 1790 b,6.37,,7.78287,2009,Other,BD+20 1790,110.9333333,20.4141667,25.4,0.63,0.71
BD+20 2457 b,21.42,,379.63,2009,Radial Velocity,BD+20 2457,154.1875,19.8913889,200.0,2.8,
BD+20 2457 c,12.47,,621.99,2009,Radial Velocity,BD+20 2457,154.1875,19.8913889,200.0,2.8,
BD+20 274 c,4.2,,578.2,2012,Radial Velocity,BD+20 274,25.9208333,21.005,,0.8,17.3
BD+20 594 b,0.0513,0.199,41.6855,2016,Primary Transit,BD+20 594,53.650000012,20.599166691,152.1,0.961,0.928
BD+24 4697 b,53.0,,145.081,2016,Radial Velocity,BD+24 4697,345.412500013,25.788055575,48.8,0.75,
BD+26 1888 b,26.0,,536.78,2016,Radial Velocity,BD+26 1888,135.629166677,25.889444467,38.0,0.76,
BD+48 738 b,0.91,,392.6,2011,Radial Velocity,BD +48 738,40.7083333,49.5869444,,0.74,11.0
BD+49 828 b,1.6,,2590.0,2015,Radial Velocity,BD+49 828,45.641666678,49.730000025,,1.52,7.6
BD-06 1339 b,0.027,,3.8728,2013,Radial Velocity,BD-06 1339,88.25,-5.9947,20.0,0.7,
BD-06 1339 c,0.17,,125.94,2013,Radial Velocity,BD-06 1339,88.25,-5.9947,20.0,0.7,
BD-06 1339 d,0.091,,500.0,2014,Radial Velocity,BD-06 1339,88.25,-5.9947,20.0,0.7,
BD-08 2823 b,0.045,,5.6,2009,Radial Velocity,BD-08 2823,150.2,-9.5166667,42.2,0.74,
BD-08 2823 c,0.33,,237.6,2009,Radial Velocity,BD-08 2823,150.2,-9.5166667,42.2,0.74,
BD-10 3166 b,0.46,1.03,3.4878,2000,Radial Velocity,BD-10 3166,164.6166667,-10.7702778,66.0,0.99,1.71
BD-11 4672 b,0.53,,1667.0,2010,Radial Velocity,BD-11 4672,278.370833343,-11.636111126,27.3,0.571,0.52
BD-17 63 b,5.1,,655.6,2008,Radial Velocity,BD-17 63,7.1416667,-16.2263889,34.6,0.74,0.69
CD-35 2722 b,31.0,,,2011,Imaging,CD-35 2722,92.3300429231,-35.8253322455,21.3,0.4,
CFBDS 1458 ,25.2,,,2010,Imaging,CFBDS 1458,224.6208333,10.2286111,31.9,0.024,
CFBDS 1458 b,10.5,,14227.0,2011,Imaging,CFBDS 1458,224.6208333,10.2286111,31.9,0.024,
CFBDSIR J2149-0403,21.0,,,2017,Imaging,CFBDSIR J2149-0403,327.446666682,-4.0524722252,55.2,,
CHXR 73 b,12.0,,,2006,Imaging,CHXR 73,166.6208333,-77.6258333,,0.35,
CI Tau b,12.31,,8.9965,2016,Radial Velocity,CI Tau,68.466666684,22.84166669,,0.8,
CT Cha b,17.0,2.2,,2008,Imaging,CT Cha,166.0375,-76.4552778,165.0,,
CVSO 30 b ,6.2,1.91,0.448413,2012,Primary Transit,CVSO 30,81.2833333,1.5733333,330.0,0.39,1.39
CVSO 30 c,4.7,1.63,,2016,Imaging,CVSO 30,81.2833333,1.5733333,330.0,0.39,1.39
CoRoT-1 b,1.03,1.49,1.5089557,2007,Primary Transit,CoRoT-1,102.0791667,-3.1022222,460.0,0.95,1.11
CoRoT-10 b,2.75,0.97,13.2406,2010,Primary Transit,CoRoT-10,291.0625,0.7461111,345.0,0.89,0.79
CoRoT-11 b,2.33,1.43,2.994325,2010,Primary Transit,CoRoT-11,280.6875,5.9377778,560.0,1.27,1.36
CoRoT-12 b,0.917,1.44,2.828042,2010,Primary Transit,CoRoT-12,100.7666667,-1.2963889,1150.0,1.078,1.116
CoRoT-13 b,1.308,0.885,4.03519,2010,Primary Transit,CoRoT-13,102.7208333,-5.0863889,1310.0,1.09,1.01
CoRoT-14 b,7.6,1.09,1.51214,2010,Primary Transit,CoRoT-14,103.425,-5.5361111,1340.0,1.13,1.21
CoRoT-15 b,63.4,1.12,3.06036,2010,Primary Transit,CoRoT-15,97.116666676,6.18624167266,,,
