number_of_features=3
number_of_samples=2200
features:
	pclass age sex
result:
	survived
feature1: 4
	1st
	2nd
	3rd
	crew
feature2: 2
	adult
	child
feature3: 2
	male
	female
results: 2
	yes
	no

Data:
pclass	age	sex	survived
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	yes
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	male	no
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
1st	adult	female	yes
