4000
Dingy King,14/1/1980,7.402,2,1485 1932
Admire The Home,28/9/1973,6.504,9,673 814 1087 926 38 1378 629 1080 71
Egocentric Airport,24/7/1983,4.773,11,116 1747 958 40 892 1403 1752 338 62 590 1861
Stuff And The Heat,27/12/1995,6.013,9,1574 53 692 210 908 463 705 232 1582
Live The Shot,9/10/2003,5.775,8,38 1836 569 963 373 1649 1075 94
Target And The Sector,13/11/1993,9.432,2,331 1433
Dismiss The Type,2/6/1983,3.660,14,1018 890 5 1477 1425 371 1356 1650 1707 137 1274 60 1433 535
Fishing And The Feeling,4/12/1981,7.218,11,1792 1473 1312 1482 1625 1255 42 1614 1372 1169 1316
Venture The Distribution,5/12/1988,6.468,12,130 1503 1166 125 189 745 314 975 1972 66 964 1255
Horse And The Suspect,9/12/1991,5.764,8,291 566 1801 1111 599 1179 217 675
The Cancer,20/3/1992,5.397,16,132 358 1733 1514 948 123 837 664 1121 1549 1633 1197 1234 1416 876 590
Phrase And The Hello,8/3/1990,6.891,11,883 1802 831 1011 1040 833 354 1555 136 1327 1941
The Party,19/12/2012,5.268,11,947 912 1152 1305 1063 1166 704 521 1362 231 393
The Lake,2/9/1996,6.055,2,140 1061
Discourage The Training,6/6/2003,6.043,8,391 490 762 1857 1929 9 1553 1469
Resist The Teacher,6/10/2008,5.878,8,628 205 1318 1804 232 56 1195 75
The Leather,24/8/1981,3.348,12,19 17 1818 371 1965 1519 1354 1908 505 1615 42 609
Revolutionary Dust,9/3/1999,6.346,2,1307 1974
Trusted Cheek,30/12/1995,6.909,11,366 1234 847 1546 1407 1679 1120 1118 214 344 1092
The Prompt,11/2/1994,5.028,7,437 1299 1992 1181 436 131 1225
The Taste,15/5/1971,7.248,7,149 7 1130 1243 947 700 368
Estimate And The Necessary,2/1/2012,5.424,15,1267 1606 841 779 435 872 1395 113 696 1392 1166 274 136 707 93
The Stable,13/11/1980,3.612,5,1200 1019 407 426 648
Attack And The Championship,18/2/2002,4.756,13,1043 860 102 1782 449 253 1936 1378 1262 803 584 1223 1941
Object And The Eye,18/11/1998,6.207,3,120 131 1250
Heal The Perception,11/7/1987,4.902,5,923 646 1682 346 1497
Membership And The Supermarket,9/2/1997,6.687,10,11 1259 772 1693 1540 807 150 1445 1860 740
The Gene,22/8/2003,4.962,13,980 1544 1216 176 1565 394 501 1121 1278 1973 1737 1250 1782
The Screw,2/1/1993,8.230,12,45 259 819 392 1660 836 256 36 661 263 607 1100
Continual Grandmother,1/8/1986,3.962,3,1089 14 457
Spill The Bar,19/10/2012,6.576,10,1352 1495 1172 195 403 1079 880 1355 1689 527
Resident Recover,4/2/1991,4.353,12,1239 493 503 1044 1647 1400 910 829 1792 553 509 1262
Remedy The Success,17/9/2017,7.574,9,182 123 462 437 1036 625 756 120 1775
Spot And The Friend,22/1/1988,4.320,16,1300 1315 868 1828 926 335 169 1098 1773 781 612 1247 1259 1998 414 931
Curt Reality,15/5/1987,5.098,2,1917 1282
Grab The Physics,10/9/1982,3.767,9,720 1436 707 202 1772 278 585 1064 887
Present The Meaning,20/9/1972,8.576,3,1225 801 752
The Familiar,20/3/2008,4.466,2,512 261
The Wife,12/10/2004,8.217,14,1253 725 536 1829 113 1832 1087 543 579 1456 1822 707 1715 1399
Arrive The Computer,21/8/1988,6.018,9,1048 1179 762 246 521 1145 732 110 1943
Print The Rate,18/7/1981,4.943,12,224 1673 1452 921 323 1794 1724 1467 661 1518 119 996
Contemptible Gift,21/2/1994,9.167,11,1406 1385 135 1198 469 313 1848 1856 504 92 1787
Huffy Whereas,20/9/1998,8.982,13,1349 1964 465 901 1069 1403 1734 1138 614 1172 137 1822 244
Delivery And The Fruit,10/6/1983,8.306,10,1472 1676 640 679 699 1985 585 8 826 488
The Show,5/5/1988,7.538,2,1284 1916
The Description,18/8/1985,9.276,15,1848 1133 1888 624 761 1807 876 308 1917 754 1222 575 149 286 727
Purposeful Back,16/6/1983,4.058,7,552 1408 1265 1359 870 1774 1328
More Obligation,11/10/1981,6.600,15,215 1809 741 1459 265 213 1907 517 173 1595 622 207 1748 1624 1925
The Temporary,24/1/1987,5.724,11,339 1167 31 1956 266 1334 398 1104 631 76 845
The Science,4/6/1998,5.337,4,299 1389 183 396
Complain The Date,8/12/1985,3.908,12,741 565 1864 88 446 333 187 355 1302 413 1317 1218
The Resort,12/2/2006,3.299,9,613 596 69 1915 1932 1615 1319 313 898
Harm And The Throat,21/10/2009,2.759,10,1230 603 811 1447 798 1906 1896 1059 96 639
Fly And The Operation,19/4/1993,6.530,6,1128 557 1430 96 164 705
Broadcast The Calendar,2/8/1982,5.741,8,557 1688 150 1518 834 1364 1454 1327
Nerve And The Plan,17/8/2007,7.398,3,1859 844 1142
The While,30/12/1973,8.812,16,541 1668 1799 245 1705 915 335 1984 689 1104 1881 269 216 401 678 1467
The Platform,20/11/2016,6.428,15,842 1091 633 341 539 331 643 15 786 1552 1300 141 1717 1890 1594
Blazing Brain,14/5/2009,4.966,7,527 1967 856 272 557 291 44
Inflation And The Section,21/1/1996,7.278,6,308 837 1686 885 659 731
The Flight,20/11/1983,4.475,14,1067 446 1995 900 699 339 1876 178 1606 879 778 1767 1928 1354
Conform The Age,8/8/1976,9.023,15,224 1194 495 1792 1984 1824 1239 1148 18 1776 907 599 1230 1650 283
Administer The Stroke,3/10/2015,3.830,3,1266 1669 378
Halt The Pride,22/5/2004,3.528,16,49 1536 1882 1961 1369 81 687 210 1123 560 555 1395 1873 953 953 1276
Inside And The Main,28/8/1995,4.097,13,800 809 145 95 170 1017 1384 5 1107 156 1042 573 1081
Democratic Player,24/7/1984,8.654,14,1206 1902 192 1607 1980 959 273 809 1993 689 367 1969 300 1173
Cash The Line,6/1/1990,2.728,7,124 1746 381 285 1566 1439 1980
Condemn The Shame,18/9/2017,2.839,4,1250 1495 329 996
The Resident,6/11/1989,4.611,3,68 495 1275
Confirm The Weekend,17/2/1987,6.685,4,354 1273 467 1442
Fit The Effect,13/3/1986,5.681,6,1783 588 1777 1765 1533 854
Tighten The Bid,4/9/1992,9.896,3,1662 1218 1487
Faraway Gear,19/5/1987,6.523,3,735 222 558
Disrupt The Fuel,21/8/1974,5.327,7,37 1468 373 1618 960 1667 1241
Mate And The Wedding,19/5/2003,6.761,2,1971 965
Avoid The Payment,20/10/2010,6.617,11,1945 333 1251 445 1900 1104 1154 349 420 845 1226
Tyrannical Pass,12/6/1974,6.418,11,1757 528 421 508 1459 109 952 366 1673 1041 577
Push The Mall,8/10/2015,1.125,15,1342 34 1314 1341 1767 246 1497 1279 746 1871 1168 815 1741 624 978
Inauspicious Dark,19/6/1982,6.248,12,647 1132 516 1637 1871 162 1202 1127 570 1131 745 346
Hate The Material,27/9/1975,4.912,5,548 518 450 995 1427
The Church,23/11/1970,7.416,11,1511 1712 425 0 1210 1086 1706 413 125 964 774
