1090
Yegoryevsk 8	Krasnoarmeysk 31 Roslavl 23 Abakan 154 Plast 184 Nolinsk 28 Novosil 168 Zeya 134 MariinskyPosad 54 
Tsivilsk 5	Uzlovaya 77 Urzhum 196 Novosil 126 Suoyarvi 70 Vidnoye 193 
Ipatovo 5	Kuvandyk 66 Pavlovo 12 Nerekhta 128 Rylsk 68 Nazyvayevsk 166 
Ladushkin 11	Kozelsk 141 Sysert 34 Karachayevsk 77 Gubkin 149 Tikhoretsk 174 BelayaKholunitsa 14 Kolchugino 10 Kargopol 85 Krasnoarmeysk 195 Korolyov 58 Staritsa 160 
Pokachi 7	Severobaykalsk 99 Kharovsk 142 Zima 140 Nytva 151 Roshal 15 Maysky 196 Tolyatti 179 
Yukhnov 4	Zmeinogorsk 50 Saransk 112 Yuzhnouralsk 23 Valday 21 
BelayaKholunitsa 8	Borodino 30 Dno 188 Tayshet 180 Ladushkin 14 Kropotkin 117 PavlovskyPosad 12 Grozny 142 Astrakhan 26 
Kyakhta 6	Znamensk 193 Shlisselburg 99 Terek 149 Blagodarny 170 Sudogda 199 Isilkul 83 
Koryazhma 3	Kinel 142 Kasimov 20 Kondrovo 72 
Serafimovich 11	Yuzhnouralsk 144 Belebey 173 Zavodoukovsk 70 Mirny 138 Svetlogorsk 104 Kotovo 140 Petrovsk 129 Vorsma 194 Krasnoturyinsk 21 Nalchik 35 Elista 169 
Pervouralsk 12	Zakamensk 24 Chernyakhovsk 76 Osa 117 Zelenogradsk 197 Aleysk 181 Kamyshin 145 Kasimov 119 Sosensky 59 Svetogorsk 133 Sarov 186 Kumertau 102 Bezhetsk 79 
Petushki 8	Pavlovo 186 Suoyarvi 28 Salekhard 189 Yurga 12 Vilyuchinsk 65 Skovorodino 17 Petrovsk-Zabaykalsky 12 Chernyakhovsk 40 
Uray 5	Staritsa 27 KrasnyKholm 169 Kizilyurt 169 Arsk 66 Zheleznogorsk 120 
Yuzha 7	Borovichi 67 NovayaLyalya 192 Teykovo 194 Krasnovishersk 171 Pytalovo 12 Pevek 18 Divnogorsk 17 
Narimanov 4	Sobinka 32 Asha 184 Vladimir 117 Tobolsk 87 
Volgorechensk 10	Irbit 74 Khanty-Mansiysk 163 Zverevo 123 Slantsy 101 Novotroitsk 165 Sosnogorsk 187 Belousovo 69 GoryachyKlyuch 145 Polyarny 147 Nesterov 124 
Udomlya 12	Gvardeysk 44 Pestovo 128 Belgorod 134 Salavat 170 Zavolzhsk 184 Nizhnekamsk 123 Guryevsk 64 Zheleznovodsk 193 Yuzhno-Sukhokumsk 166 Andreapol 77 Novorzhev 175 Alexandrov 90 
Sebezh 10	Velizh 183 Uryupinsk 171 Pechora 151 Salekhard 29 Verkhoyansk 136 Mikhaylovsk 88 Karabash 135 Zelenodolsk 69 Votkinsk 109 Podporozhye 188 
Rezh 4	Akhtubinsk 112 SergiyevPosad 103 Kameshkovo 130 Shagonar 160 
Baksan 9	Pokrov 99 Rostov-on-Don 93 Miass 163 Vereya 42 Iskitim 157 Pavlovsk 110 Artyomovsk 132 Morshansk 59 Syktyvkar 105 
Yakutsk 4	Dalnegorsk 62 Gatchina 13 Kopeysk 162 Dudinka 170 
Borzya 7	Lesosibirsk 35 Okulovka 151 Safonovo 46 Ostrogozhsk 94 Millerovo 10 Kovdor 51 Primorsko-Akhtarsk 141 
Karachayevsk 5	Krasnokamsk 135 Ladushkin 77 Zheleznovodsk 131 Chita 34 Zherdevka 73 
Teberda 6	Solvychegodsk 100 Pustoshka 81 Nizhnekamsk 92 Strezhevoy 91 Kulebaki 26 Yessentuki 53 
Muravlenko 5	Navoloki 94 Novomichurinsk 191 Slyudyanka 114 Barnaul 73 Yakhroma 48 
Dyatkovo 11	ZapadnayaDvina 158 Neman 147 Alatyr 184 Noyabrsk 23 Vyborg 102 Nadym 134 Korsakov 134 Kirs 93 Slantsy 136 Borodino 180 Karachev 175 
Shchyolkovo 9	Sychyovka 66 Tarusa 61 Zelenokumsk 144 Khvalynsk 118 Glazov 37 Khanty-Mansiysk 139 Komsomolsk 88 Sorsk 83 Gremyachinsk 122 
Temryuk 9	Ukhta 155 Orsk 188 Ishim 143 Yefremov 96 Baykalsk 176 Neryungri 100 Bryansk 75 NizhnyayaSalda 141 Ust-Dzheguta 184 
Kislovodsk 10	Severobaykalsk 173 Borovsk 108 Krasnokamensk 30 Zima 96 Pokrov 127 Kirishi 120 Kostroma 165 Shebekino 74 Nyandoma 62 Perevoz 158 
Arkadak 13	Svetogorsk 12 Peresvet 141 Artyom 12 Sim 49 Ramenskoye 116 Komsomolsk-on-Amur 49 Talitsa 161 Kachkanar 178 Kropotkin 81 Maloarkhangelsk 75 Zheleznogorsk-Ilimsky 186 Gubakha 151 Okulovka 83 
Fatezh 11	Chernogorsk 192 Dalnerechensk 155 Zaraysk 148 Petergof 182 Dimitrovgrad 143 Zverevo 42 Langepas 45 Ryazan 147 Mtsensk 98 Valday 64 Gay 132 
Norilsk 8	Ak-Dovurak 42 Lesosibirsk 41 Saransk 26 Tsimlyansk 56 Irbit 158 Orsk 132 Svetlogorsk 19 Furmanov 40 
Tara 4	Gulkevichi 175 Ozyory 109 ZapadnayaDvina 159 VerkhnyTagil 28 
Yadrin 5	Tolyatti 11 Aksay 30 GavrilovPosad 119 Tsimlyansk 169 Cherepovets 139 
Novomichurinsk 11	Muravlenko 191 Krasavino 106 Torzhok 130 Yurga 73 Staritsa 118 Vorkuta 162 Korocha 151 Makhachkala 14 Dankov 149 Vesyegonsk 141 Sim 83 
Zaozyorny 10	Karabulak 15 Zhukovsky 90 Kharabali 133 Zelenogradsk 88 Sretensk 49 Volchansk 106 Lagan 152 Bobrov 165 Maykop 103 Toguchin 62 
Dalmatovo 4	Votkinsk 101 Golitsyno 162 Terek 102 Suvorov 57 
Semikarakorsk 10	Vyborg 109 Klimovsk 142 Verkhoyansk 155 Berdsk 120 DagestanskiyeOgni 76 Kachkanar 137 Makarov 122 Chusovoy 162 Zelenograd 193 Aprelevka 13 
Novokhopyorsk 3	Leninsk 138 Kovrov 120 Kungur 12 
Gorno-Altaysk 10	Krasnokamensk 152 Kondopoga 91 Georgiyevsk 90 Nyurba 178 Novopavlovsk 43 Zheleznogorsk-Ilimsky 147 Asino 38 Belorechensk 76 Okulovka 31 Konstantinovsk 30 
Zelenogradsk 9	Tolyatti 153 Pervouralsk 197 Zaozyorny 88 Boksitogorsk 187 Taldom 30 Degtyarsk 196 Salavat 116 Birobidzhan 149 Spassk 25 
Karpinsk 9	Vologda 95 Chekhov 46 Pushkino 104 Borodino 66 Lyskovo 52 Krasnovishersk 129 Leninsk 124 Surovikino 97 Lyuban 82 
Svobodny 6	Kurovskoye 179 Khanty-Mansiysk 87 Bologoye 49 Aksay 56 Navoloki 28 Tayga 174 
Sarapul 7	Mezen 196 Shumerlya 182 Revda 141 Povorino 75 Yalutorovsk 130 Tarusa 106 Meshchovsk 187 
Temnikov 11	Murom 163 Kopeysk 18 Sol-Iletsk 58 Achinsk 90 Bilibino 59 Kirs 122 Zhukov 154 Susuman 200 Novosokolniki 37 Vuktyl 73 Kosteryovo 72 
Volsk 7	Zavodoukovsk 156 Kasimov 37 Novouralsk 24 Chelyabinsk 14 Surgut 78 Inza 140 Lesozavodsk 170 
Alexandrovsk-Sakhalinsky 13	Kalininsk 51 Maysky 28 GavrilovPosad 16 Labytnangi 164 Kolchugino 133 Rylsk 59 Nartkala 111 Serdobsk 138 Neya 112 Novokubansk 48 MariinskyPosad 118 Menzelinsk 59 Lebedyan 176 
Severomorsk 8	Poronaysk 107 Svetly 91 Novomoskovsk 173 Sortavala 109 Novoaltaysk 144 Sudogda 12 Dukhovshchina 129 Izobilny 95 
Belogorsk 7	Novokuznetsk 112 Kupino 73 Porkhov 180 Krasnodar 95 Nerekhta 132 Dobryanka 48 Murashi 88 
Mezen 10	Novokuznetsk 99 Bogoroditsk 165 Novozybkov 192 Yoshkar-Ola 38 Vereshchagino 122 Sarapul 196 Verkhoyansk 158 Derbent 106 Zelenograd 108 Pokrovsk 141 
Sosnogorsk 7	MalayaVishera 107 Volgorechensk 187 Sudogda 126 Polevskoy 92 Izberbash 148 Minusinsk 95 Krasnozavodsk 165 
Puchezh 14	Morozovsk 58 Lomonosov 124 Novocherkassk 83 Artyomovsky 85 Izberbash 75 Kurchatov 150 Izhevsk 199 Kotovo 101 Irbit 50 PetrovVal 63 Borovichi 168 Omutninsk 70 Astrakhan 155 Moscow 13 
Ust-Katav 16	Buynaksk 96 Yekaterinburg 117 Katav-Ivanovsk 160 Nesterov 32 Slobodskoy 84 Nizhnekamsk 58 Tayshet 198 Neya 126 Pereslavl-Zalessky 173 Nelidovo 136 Ramenskoye 158 Korkino 88 Yeysk 110 Makarov 37 Nadym 185 Rasskazovo 99 
Urus-Martan 9	Khilok 184 Ilansky 61 Abdulino 30 Michurinsk 136 Kogalym 148 MalayaVishera 181 Chaykovsky 69 GavrilovPosad 101 Krasnoarmeysk 47 
Spassk-Ryazansky 4	Berdsk 103 Maykop 165 Shumikha 67 Kadnikov 57 
Mikhaylovka 5	Novokuznetsk 190 Buinsk 47 Chernushka 155 Yubileyny 145 Tver 79 
Ostrov 3	Cherkessk 113 Karabash 176 Belomorsk 147 
Bataysk 9	Petukhovo 55 Kalachinsk 23 Kotovsk 11 Mamadysh 85 Petrovsk-Zabaykalsky 149 Kasli 22 Aprelevka 24 Proletarsk 162 Nakhodka 167 
Lyantor 14	Krasnoslobodsk 37 Zverevo 155 Zaraysk 124 Seversk 105 Svirsk 38 Mednogorsk 84 Surazh 103 Ruzayevka 149 Velizh 37 Snezhinsk 102 Navashino 176 Salavat 141 Kashira 190 Rtishchevo 13 
Makushino 9	Lyuban 97 Kopeysk 134 Megion 56 Galich 50 Andreapol 76 Engels 101 Nevinnomyssk 161 Innopolis 63 Rossosh 104 
Zavolzhye 7	Naryan-Mar 199 Satka 143 Unecha 143 Glazov 15 Plyos 85 Gornyak 58 Podporozhye 129 
Zverevo 10	Voronezh 65 Kulebaki 186 Fatezh 42 Pushchino 78 Kostomuksha 188 Dyurtyuli 199 Volgorechensk 123 Lyantor 155 Buguruslan 184 Grayvoron 132 
Belebey 11	Kameshkovo 115 Serafimovich 173 Zuyevka 142 Mytishchi 51 Kamyshin 157 Mamadysh 136 Uyar 60 Novoalexandrovsk 180 VelikiyeLuki 148 Proletarsk 10 Kaliningrad 122 
Vilyuchinsk 5	Arzamas 146 Innopolis 14 Dobryanka 68 Petushki 65 Naro-Fominsk 15 
NaberezhnyeChelny 8	Oktyabrsky 177 Mendeleyevsk 43 Mezhdurechensk 98 Ivanovo 50 Krasnoufimsk 150 NizhnyayaSalda 88 Kedrovy 196 Gdov 27 
Shikhany 5	Kem 107 Tyrnyauz 30 Shilka 38 Ulyanovsk 178 Voskresensk 12 
Maloyaroslavets 8	Sosnovka 41 Petropavlovsk-Kamchatsky 27 Kurovskoye 136 Lipetsk 40 Leninsk 117 Zavolzhsk 130 Pyatigorsk 20 Chelyabinsk 198 
Buguruslan 4	Partizansk 101 Zverevo 184 Karachev 13 Baykalsk 61 
Nefteyugansk 9	Kalininsk 136 Karachev 159 Chaplygin 97 Gubkin 147 Dalnerechensk 69 Kotelniki 82 Kremyonki 22 Lukoyanov 88 Menzelinsk 53 
Satka 3	Engels 128 Akhtubinsk 45 Zavolzhye 143 
Nizhnekamsk 10	Uvarovo 157 Zlatoust 164 Udomlya 123 MariinskyPosad 160 Teberda 92 Ust-Katav 58 Tuymazy 73 Srednekolymsk 164 Chekalin 36 Kyzyl 113 
Sorochinsk 10	Kupino 49 Kadnikov 146 Novouralsk 32 Birsk 132 NizhnyayaSalda 104 Dzerzhinsk 180 VerkhnyayaTura 194 Belovo 110 Tver 170 Seltso 17 
Kotlas 12	Pushkin 26 Susuman 103 Pechora 183 Minusinsk 191 Tyukalinsk 170 Elektrougli 52 Shuya 59 Klin 57 Sursk 186 PolyarnyeZori 173 Sarov 17 Zubtsov 95 
Pushchino 7	Svetlograd 125 Karasuk 175 Berezovsky 10 Zverevo 78 Suzdal 17 Tarko-Sale 113 Povorino 36 
Rostov-on-Don 4	Kaliningrad 116 Zhukov 118 Baksan 93 Likino-Dulyovo 87 
Shumerlya 9	Kalyazin 192 Chita 151 Khvalynsk 15 Kubinka 143 Sarapul 182 Gatchina 149 Solnechnogorsk 32 Kologriv 142 Inza 108 
Nartkala 4	Alexandrovsk-Sakhalinsky 111 Vladimir 30 Lgov 141 Mozhaysk 69 
Lipetsk 6	Neftekamsk 122 Maloyaroslavets 40 Dyurtyuli 163 Mariinsk 25 Lermontov 180 Olonets 169 
Stavropol 12	Verkhneuralsk 83 Dorogobuzh 73 KrasnyKut 34 Vytegra 147 Gusinoozyorsk 47 Lakinsk 119 Gudermes 189 Kuznetsk 144 Karabanovo 88 Nevinnomyssk 65 Zarechny 159 Kommunar 80 
Nevelsk 9	Ulyanovsk 78 Ostrogozhsk 188 Oryol 39 Neftekamsk 51 PetrovVal 186 Korkino 107 Alexandrov 195 Zhukovsky 15 Moscow 74 
Tutayev 3	Turinsk 16 Vorkuta 26 Strezhevoy 28 
Guryevsk 6	Udomlya 64 Grozny 168 Timashyovsk 42 Mikun 98 Minusinsk 41 Chadan 189 
Mendeleyevsk 7	NaberezhnyeChelny 43 Rybinsk 24 Nevinnomyssk 19 Izobilny 85 Surovikino 95 Kemerovo 184 Grozny 153 
Kronstadt 9	Buynaksk 43 Lyskovo 117 Sharypovo 71 Demidov 132 Kizel 88 Velsk 63 Arsk 147 Smolensk 82 Kashira 41 
Alexeyevka 3	Kem 63 Minusinsk 119 Primorsko-Akhtarsk 67 
Novomoskovsk 12	Belovo 109 Priozersk 43 Zlynka 17 Azov 46 Peresvet 198 NovayaLadoga 183 Plyos 25 Severomorsk 173 Novoulyanovsk 105 Shilka 18 Pervomaysk 35 Ufa 111 
Kotovo 9	Arsenyev 96 Kirovo-Chepetsk 79 Kaliningrad 19 Soltsy 113 Serafimovich 140 Neftekamsk 87 Puchezh 101 Chernogolovka 87 Myshkin 112 
Yuzhnouralsk 5	Novoulyanovsk 118 Yukhnov 23 Serafimovich 144 Pochinok 31 Oryol 171 
Komsomolsk-on-Amur 9	Dedovsk 149 Arkadak 49 Sosnovoborsk 92 Vorsma 93 Skovorodino 13 Segezha 39 Luza 98 Ulyanovsk 175 Stroitel 199 
Zadonsk 4	Alexandrovsk 190 Kupino 100 Ruza 77 Vichuga 80 
Nytva 6	Pokachi 151 Sharypovo 81 Yershov 57 Ivdel 173 Tyrnyauz 180 Kodinsk 20 
Kalachinsk 8	Bataysk 23 Shlisselburg 86 Buinsk 37 Yalutorovsk 114 Izobilny 11 Semiluki 176 Poshekhonye 58 Pestovo 166 
VerkhnyayaPyshma 5	Shatura 87 Nerchinsk 170 Verkhoyansk 142 Spassk-Dalny 85 Gay 143 
Rodniki 8	Kaluga 82 Uzhur 124 Balabanovo 32 Perm 41 Kamyshin 178 Novosil 29 Syzran 146 Belomorsk 81 
Nerchinsk 8	Shlisselburg 13 VerkhnyayaPyshma 170 Volosovo 159 Usinsk 192 Alzamay 146 Sokol 100 Abakan 139 VyatskiyePolyany 21 
Yelnya 5	Valday 193 Iskitim 15 Mytishchi 145 Noginsk 167 Losino-Petrovsky 196 
Zuyevka 5	Belebey 142 Ruza 158 Sayansk 101 Raduzhny 175 VelikyNovgorod 41 
Gryazi 10	Apatity 61 Krasnouralsk 176 Dmitriyev 75 Uchaly 99 Povorino 103 Kupino 128 Tambov 127 Sursk 86 Sosnovka 197 Pokrovsk 101 
KrasnoyeSelo 5	Nyurba 46 Pechora 86 Ryazhsk 132 Seltso 161 Artyomovsk 157 
Serov 11	Otradnoye 142 Tayga 172 Ukhta 76 Malmyzh 118 Korocha 198 Bugulma 189 Yermolino 193 Kaspiysk 94 Obluchye 103 Igarka 124 Sudzha 63 
Safonovo 10	Beloyarsky 134 Kolpino 83 Mamadysh 22 Borzya 46 Tryokhgorny 119 Dukhovshchina 130 Noginsk 185 Khilok 19 Lyuban 131 Krasnoznamensk 44 
Laishevo 7	Mozhga 89 Nadym 116 Rossosh 123 Vereya 119 Svetlograd 21 Menzelinsk 85 Obluchye 198 
Yefremov 9	Mytishchi 77 Gay 158 Derbent 103 Surovikino 123 Temryuk 96 Chukhloma 80 Adygeysk 104 Kholm 27 Moskovsky 50 
Yemva 12	Kologriv 52 Sovetsky 28 Chapayevsk 35 Dmitriyev 54 Sergach 106 Nazran 156 Novodvinsk 134 Belorechensk 113 Chekalin 13 Kurlovo 159 Bakal 114 Yuryev-Polsky 135 
Yershov 5	Nytva 57 MineralnyeVody 69 Ertil 171 Pavlovo 178 Gubakha 172 
Zavodoukovsk 9	Elektrogorsk 13 Salekhard 75 Ak-Dovurak 100 Murashi 183 Kovdor 51 Serafimovich 70 Volsk 156 VyatskiyePolyany 35 Cheremkhovo 14 
NovayaLyalya 9	Khanty-Mansiysk 90 Inza 122 Yuzha 192 Orlov 17 Krasnovishersk 184 Mogocha 99 Myski 164 Kozmodemyansk 50 Baley 113 
Labinsk 9	Buy 128 Spassk-Dalny 93 Khvalynsk 105 Kem 141 Artyomovsky 25 Voskresensk 39 Yugorsk 171 Krasnozavodsk 77 Toguchin 54 
Talitsa 9	Donetsk 143 Lakhdenpokhya 151 Vyazemsky 52 Arkadak 161 Boksitogorsk 117 Slyudyanka 104 Torzhok 44 Severobaykalsk 34 Medyn 98 
Volgograd 6	Nyandoma 87 Petrozavodsk 194 Neman 175 Staritsa 85 Millerovo 176 Kemerovo 58 
Serdobsk 10	Alexandrovsk-Sakhalinsky 138 Novodvinsk 198 Bogotol 74 Salavat 176 Gubkin 160 VerkhnyTagil 101 Novorossiysk 72 Rtishchevo 44 Minyar 16 Chebarkul 149 
Vladimir 4	Konakovo 195 Narimanov 117 Nartkala 30 Dzerzhinsky 183 
Suzdal 6	Dmitriyev 90 Kalyazin 78 Vidnoye 137 Pushchino 17 Beloretsk 120 Klimovsk 71 
Ruza 5	Svetogorsk 175 Zadonsk 77 Zuyevka 158 Yubileyny 25 Cherepovets 22 
Bolokhovo 7	Chkalovsk 55 Biysk 129 Aksay 193 NovyOskol 40 KrasnyKholm 35 Bogorodsk 36 Meleuz 69 
Ilansky 7	Kamen-na-Obi 11 Proletarsk 69 Urus-Martan 61 Dukhovshchina 193 Luza 183 Aramil 164 Reutov 97 
Vorkuta 14	Novoalexandrovsk 43 Pskov 69 Uglich 185 Chkalovsk 72 Tutayev 26 Gvardeysk 158 Novomichurinsk 162 Trubchevsk 132 Severobaykalsk 30 Mikhaylovsk 200 Vyborg 21 Tyumen 117 Kirovgrad 176 Kadnikov 170 
Korsakov 4	Dyatkovo 134 Nesterov 167 Krasnoturyinsk 63 Kashira 151 
Svetly 10	Ivangorod 171 Grayvoron 83 Luza 109 Artyomovsky 20 NovyOskol 25 Demidov 180 Ertil 25 Severomorsk 91 Yasnogorsk 187 Velsk 94 
Desnogorsk 10	Kolpino 76 Digora 81 Nazran 98 Kanash 11 Khanty-Mansiysk 10 Porkhov 167 Millerovo 33 Cheboksary 87 Medyn 23 Ivanteyevka 25 
Ivdel 11	Sibay 170 Pochinok 138 Kasimov 85 Kuybyshev 60 Kotelniki 177 Nytva 173 Gagarin 139 Nadym 77 Novorossiysk 98 Bolotnoye 44 Moskovsky 22 
Novoaltaysk 8	Vidnoye 83 Kiselyovsk 148 Kologriv 99 Ertil 124 Nurlat 140 Severomorsk 144 Vladivostok 70 Adygeysk 197 
Ussuriysk 9	Kyzyl 37 Ak-Dovurak 189 Kamyshin 40 Lesozavodsk 93 NovayaLadoga 143 VelikyUstyug 176 Otradnoye 127 Lermontov 153 Salsk 143 
Golitsyno 9	Neftekamsk 43 Zarechny 166 Makarov 165 Dalmatovo 162 Krasnogorsk 134 Blagodarny 64 Omutninsk 109 Izhevsk 16 Pavlovo 142 
Dzerzhinsk 9	Sorochinsk 180 Agryz 18 Insar 88 Kartaly 86 Kurchatov 27 Semyonov 145 Kharovsk 179 Shagonar 123 Vyborg 113 
Vilyuysk 9	Srednekolymsk 123 Oryol 105 Plavsk 196 Sudogda 11 Zheleznogorsk 155 Kurtamysh 15 GoryachyKlyuch 74 Tarusa 143 Rudnya 143 
SergiyevPosad 5	Vyazemsky 43 Rezh 103 Elista 81 Nyagan 179 Lyubertsy 129 
Irbit 12	Vyazniki 179 Nelidovo 115 Puchezh 50 Norilsk 158 Sergach 162 Pustoshka 52 Luga 56 Volgorechensk 74 Kargopol 157 Khilok 76 Kashira 55 Kovdor 65 
Insar 5	Dzerzhinsk 88 Obninsk 55 Verkhoturye 171 Gusev 175 Solnechnogorsk 136 
Neya 9	Shenkursk 65 Cherepovets 128 Alexandrovsk-Sakhalinsky 112 Ust-Katav 126 Berezovsky 24 Prokopyevsk 28 VelikyNovgorod 74 Balabanovo 183 Chita 89 
Sortavala 10	Plast 62 Ostrovnoy 160 Fokino 67 Kokhma 110 Agryz 33 Berezniki 86 Severomorsk 109 Voronezh 16 Novosokolniki 27 Orlov 117 
Shimanovsk 9	Lakinsk 199 Lytkarino 196 Zarechny 142 Krasnokamensk 187 Glazov 103 Pikalyovo 55 Sokolniki 111 Kirsanov 85 Minyar 95 
Digora 12	Vsevolozhsk 60 Balashikha 94 Kansk 75 Chudovo 193 Spassk 42 Shadrinsk 179 Severobaykalsk 42 Desnogorsk 81 Tikhoretsk 86 Voronezh 69 Vuktyl 153 Borisoglebsk 165 
Zarinsk 6	Novotroitsk 88 Navoloki 136 Spassk 151 Perm 178 Yessentuki 169 Krasnoznamensk 106 
Novokubansk 9	Lyubim 14 Malgobek 190 Kogalym 177 Alexandrovsk-Sakhalinsky 48 Salsk 47 Suoyarvi 73 Strunino 86 Maloarkhangelsk 167 Sarov 58 
Blagoveshchensk 5	Orsk 81 Kamensk-Shakhtinsky 114 Chernogolovka 129 Unecha 136 Millerovo 191 
Obninsk 8	VerkhnyUfaley 46 Kamyshlov 27 NizhnyNovgorod 191 Pikalyovo 188 Insar 55 Lipki 147 Suoyarvi 134 Chekalin 66 
VelikyUstyug 11	Sochi 153 Solvychegodsk 83 Labytnangi 17 Ussuriysk 176 SovetskayaGavan 140 Myski 107 Severobaykalsk 181 Nikolayevsk-on-Amur 112 Melenki 84 Pochep 44 Kusa 127 
Demidov 4	DagestanskiyeOgni 37 Kronstadt 132 Svetly 180 Murashi 168 
Lensk 12	NovyOskol 92 Gorbatov 59 Ardatov 107 Ust-Dzheguta 24 Innopolis 22 KrasnySulin 31 Omutninsk 22 Dankov 19 Stroitel 34 Salsk 36 Usolye-Sibirskoye 156 Kurovskoye 98 
Prokopyevsk 4	Kurilsk 128 Neya 28 Yelizovo 174 Kotovsk 118 
Kola 7	Podolsk 149 Novovoronezh 164 Angarsk 161 Alzamay 73 Suoyarvi 109 Morshansk 25 Bakal 25 
Nizhneudinsk 8	Shebekino 198 Novotroitsk 74 Sochi 74 Pokhvistnevo 117 Krasnodar 91 Mezhdurechensk 49 Orsk 43 Zakamensk 50 
Buzuluk 5	Yaroslavl 118 Zhukov 159 Kosteryovo 66 Tyrnyauz 13 Bely 111 
NizhnyLomov 11	Vysotsk 102 Vyksa 78 Birsk 95 Rasskazovo 110 Pytalovo 23 Penza 181 Slantsy 36 Apatity 26 Krasnoufimsk 176 Yasny 47 Raduzhny 137 
Chukhloma 9	Pitkyaranta 47 Chadan 191 Kadnikov 195 Korkino 32 NizhnyNovgorod 65 Yefremov 80 Kotelniki 83 Aramil 119 Kumertau 146 
Kirov 11	Gulkevichi 133 Naryan-Mar 189 Yubileyny 43 Skopin 182 Sorsk 30 Ozherelye 119 Kamyshlov 33 Mikhaylovsk 189 Nerekhta 82 Ust-Dzheguta 99 Nakhodka 26 
Murom 9	NizhnyayaSalda 80 Yaransk 30 Severodvinsk 38 Temnikov 163 Rybnoye 17 Naro-Fominsk 161 Magas 89 Volosovo 25 VelikyNovgorod 158 
Pitkyaranta 9	Rtishchevo 150 StaryOskol 56 Sysert 87 Zaraysk 200 Chukhloma 47 Velizh 167 Stroitel 42 Rudnya 13 Leninsk 43 
Prokhladny 6	Usinsk 121 Bugulma 46 Maysky 56 Frolovo 19 MariinskyPosad 126 VyshnyVolochyok 143 
Novotroitsk 12	Anapa 170 Makarov 144 Yessentuki 151 Lytkarino 200 Spassk 133 Kovdor 143 Bologoye 19 Volgorechensk 165 Zarinsk 88 Nizhneudinsk 74 Dolinsk 123 Turan 150 
