200
Dolgoprudnii 2	Osaka 73 Singapore 210 
Tokyo 5	Cairo 649 Montreal 290 Dallas 511 Fortaleza 403 Fukuoka 432 
NewYork 7	Lille 518 Tucson 144 Shenzhen 536 Tehran 766 Dubai 673 Lumumbashi 607 SaltLakeCity 488 
SaoPaulo 6	Baltimore 259 CapeTown 264 Ankara 419 PortoAlegre 273 Baku 505 Charlotte 746 
Seoul 4	Lagos 94 Philadelphia 502 Bordeaux 557 Honolulu 455 
MexicoCity 5	Shenzhen 540 Buffalo 485 NizhniNovgorod 278 Washington 766 NewOrleans 388 
Osaka 5	Baghdad 570 Dolgoprudnii 73 Toronto 152 PhnomPenh 566 Lille 705 
Manila 5	Toronto 521 Beijing 691 Minneapolis 327 Kuwait 251 Stockholm 188 
Mumbai 3	London 782 Washington 448 Rochester 348 
Delhi 2	Phoenix 452 Frankfurt 275 
Jakarta 7	Shenzhen 52 TelAviv 633 ElPaso 413 Monterey 188 Fukuoka 351 OklahomaCity 764 GrandRapids 443 
Lagos 3	Tampa 566 Seoul 94 Melbourne 549 
Kolkata 5	Riverside 320 Paris 294 Taichung 532 Nashville 394 GrandRapids 303 
Cairo 4	Manchester 699 Tokyo 649 Tehran 179 Quebec 663 
LosAngeles 5	Pretoria 389 SanJuan 370 Pittsburgh 610 Damman 434 AbuDhabi 375 
BuenosAires 3	Marseille 556 Helsinki 779 VirginiaBeach 259 
RiodeJaneiro 6	PortoAlegre 735 Minneapolis 765 Louisville 205 Riverside 320 ElPaso 367 Allentown 653 
Moscow 3	Warsaw 610 Orlando 327 Shenzhen 259 
Shanghai 7	Lille 434 Berlin 323 Aachen 591 Frankfurt 628 Cologne 297 Harare 123 Dayton 129 
Karachi 5	Houston 489 Philadelphia 626 Fortaleza 736 Orlando 721 Hartford 394 
Paris 1	Kolkata 294 
Istanbul 5	Tulsa 321 NewHaven 599 Dalian 484 Fukuoka 65 VirginiaBeach 762 
Nagoya 3	Columbus 516 Richmond 204 Brasilia 327 
Beijing 6	Miami 586 Bangalore 290 Quebec 555 Manila 691 KansasCity 360 GrandRapids 560 
Chicago 6	Albuquerque 776 PortElizabeth 380 PhnomPenh 53 Miami 416 Vancouver 624 Goiania 42 
London 7	Monterey 549 Mumbai 782 Shenzhen 481 KualaLumpur 253 Ankara 531 Warsaw 381 Vereeniging 301 
Shenzhen 8	Moscow 259 NewYork 536 London 481 MexicoCity 540 Jakarta 52 Sydney 467 Beirut 545 Tulsa 506 
Essen 5	Stuttgart 292 Lille 231 Lille 84 Taipei 323 Manchester 607 
Tehran 5	PhnomPenh 86 Cairo 179 NewYork 766 Lima 411 Stockholm 354 
Bogota 2	Portland 49 Boston 520 
Lima 5	Manchester 52 Sarasota 467 Tehran 411 Harare 629 Helsinki 380 
Bangkok 9	Dublin 671 Glasgow 20 Riyadh 272 Sydney 135 Recife 333 Phoenix 258 Seattle 629 Lisbon 483 SanJose 243 
Johannesburg 4	Guadalajara 341 Monterey 709 Durban 222 Lyon 342 
Chennai 4	KualaLumpur 59 Minneapolis 665 St.Louis 24 Dublin 694 
Taipei 5	Essen 323 Austin 753 Accra 620 Milwaukee 278 Hartford 109 
Baghdad 6	Madrid 708 Katowice 760 Osaka 570 Houston 520 Bordeaux 87 Birmingham 143 
Santiago 3	Lille 350 Calgary 16 Charlotte 298 
Bangalore 3	Nashville 388 Beijing 290 Buffalo 387 
Hyderabad 2	Lyon 474 Concord 379 
StPetersburg 2	Berlin 788 Singapore 312 
Philadelphia 6	Dubai 596 Guadalajara 616 Seoul 502 Karachi 626 Manchester 82 Dublin 570 
Lahore 3	Cincinnati 124 Hamburg 247 Tampa 98 
Kinshasa 3	Munich 626 Atlanta 142 Aachen 710 
Miami 4	Chicago 416 Porto 781 Beijing 586 SanAntonio 615 
Madrid 5	Brussels 363 Edmonton 536 Lumumbashi 407 Baghdad 708 LasVegas 680 
Tianjin 4	Charlotte 43 Akron 774 Stockholm 608 Winnipeg 557 
KualaLumpur 3	PhnomPenh 645 London 253 Chennai 59 
Toronto 3	Osaka 152 Cincinnati 592 Manila 521 
Milan 1	Pretoria 384 
Shenyang 4	Athens 161 SanFrancisco 494 Hartford 230 Concord 595 
Dallas 3	Tokyo 511 Portland 697 Bridgeport 364 
Boston 2	Berlin 749 Bogota 520 
BeloHorizonte 6	Pretoria 241 Akron 51 Stockholm 725 Baltimore 625 SanAntonio 680 Albany 373 
Khartoum 2	Edmonton 657 Pittsburgh 355 
Riyadh 1	Bangkok 272 
Singapore 6	Dolgoprudnii 210 Goiania 706 StPetersburg 312 Atlanta 596 Sacramento 560 Omaha 486 
Washington 3	Mumbai 448 MexicoCity 766 CapeTown 203 
Detroit 2	Portland 434 KansasCity 99 
Barcelona 3	Budapest 799 Turin 455 Quebec 689 
Houston 3	Baghdad 520 Karachi 489 Antwerp 490 
Athens 5	Phoenix 555 Columbus 411 Tampa 766 Shenyang 161 Donetsk 499 
Berlin 4	Rome 503 Shanghai 323 StPetersburg 788 Boston 749 
Sydney 4	Bangkok 135 Shenzhen 467 Sapporo 346 Tashkent 798 
Atlanta 3	Singapore 596 Kinshasa 142 Pittsburgh 171 
Guadalajara 6	Sarasota 645 Johannesburg 341 Philadelphia 616 Baltimore 334 Damman 167 Leeds 31 
SanFrancisco 3	Donetsk 139 Shenyang 494 Winnipeg 717 
Montreal 3	Providence 240 Tokyo 290 Concord 353 
Monterey 4	Johannesburg 709 Jakarta 188 London 549 Minneapolis 713 
Melbourne 3	Lagos 549 Birmingham 69 Auckland 436 
Ankara 5	London 531 SaoPaulo 419 Dalian 225 Denver 49 Stockholm 191 
Recife 4	Winnipeg 782 Hartford 139 Bangkok 333 Orlando 549 
Phoenix 7	NizhniNovgorod 652 Bangkok 258 Fortaleza 693 Delhi 452 Athens 555 CapeTown 167 ElPaso 55 
Durban 6	OklahomaCity 286 Johannesburg 222 Naples 365 Denver 643 Helsinki 145 Charlotte 87 
PortoAlegre 4	Rochester 789 SaoPaulo 273 RiodeJaneiro 735 Memphis 352 
Dalian 3	Ankara 225 Istanbul 484 AbuDhabi 713 
Jeddah 6	PhnomPenh 136 Denver 729 Quebec 229 Porto 42 Austin 672 Springfield 303 
Seattle 2	Bangkok 629 Antwerp 445 
CapeTown 5	Phoenix 167 NizhniNovgorod 776 Washington 203 SaoPaulo 264 Naples 463 
SanDiego 2	TelAviv 561 Louisville 588 
Fortaleza 5	Raleigh 88 Tokyo 403 Karachi 350 Phoenix 693 Tulsa 372 
Curitiba 1	Tampa 355 
Rome 3	NewOrleans 295 Lumumbashi 630 Berlin 503 
Naples 4	Durban 365 CapeTown 463 Pretoria 661 Adelaide 320 
Minneapolis 6	Manila 327 Monterey 713 Buffalo 108 RiodeJaneiro 765 Chennai 665 Tampa 477 
TelAviv 4	Omaha 580 Jakarta 633 SanDiego 561 Springfield 775 
Frankfurt 4	Shanghai 628 Delhi 275 SanJuan 521 Sapporo 428 
Lisbon 2	Bangkok 483 Taichung 312 
Manchester 5	Philadelphia 82 Essen 607 AbuDhabi 138 Cairo 699 Lima 52 
SanJuan 5	Aachen 514 Glasgow 232 Tashkent 101 LosAngeles 370 Frankfurt 521 
Katowice 3	SanAntonio 391 SanAntonio 125 Baghdad 760 
Tashkent 5	Sydney 798 Brasilia 118 Rochester 469 SanJuan 101 Indianapolis 568 
Fukuoka 5	Jakarta 351 Istanbul 65 Tokyo 432 Helsinki 489 Edmonton 631 
Baku 1	SaoPaulo 505 
St.Louis 4	Donetsk 707 Chennai 24 Kuwait 432 Birmingham 52 
Baltimore 6	BeloHorizonte 625 Guadalajara 334 Jacksonville 618 SaoPaulo 259 Warsaw 233 Pretoria 577 
Sapporo 3	Frankfurt 428 Sydney 346 Portland 211 
Tampa 7	Minneapolis 477 Lagos 566 Lahore 98 Athens 766 Curitiba 355 Damman 229 Providence 205 
Taichung 5	Lisbon 312 Kolkata 532 Vienna 358 Glasgow 503 Honolulu 696 
Warsaw 5	Baltimore 233 London 381 Moscow 610 SanJose 426 Tucson 507 
Denver 5	Durban 643 Lille 800 Ankara 49 Jeddah 729 Lyon 432 
Cologne 3	PortElizabeth 217 Shanghai 297 Lyon 404 
Hamburg 3	Orlando 685 Bordeaux 59 Lahore 247 
Dubai 3	NewYork 673 Philadelphia 596 Auckland 228 
Pretoria 5	Naples 661 Baltimore 577 LosAngeles 389 Milan 384 BeloHorizonte 241 
Vancouver 3	Glasgow 418 Chicago 624 Kuwait 41 
Beirut 4	SaltLakeCity 769 Copenhagen 203 Shenzhen 545 Vereeniging 650 
Budapest 3	Stockholm 103 Barcelona 799 Marseille 371 
Cleveland 2	Leeds 779 SanJose 207 
Pittsburgh 4	Atlanta 171 Brussels 502 Khartoum 355 LosAngeles 610 
Campinas 2	Portland 124 Allentown 72 
Harare 3	Lima 629 Shanghai 123 Accra 467 
Brasilia 3	Cincinnati 15 Nagoya 327 Tashkent 118 
Kuwait 3	Manila 251 St.Louis 432 Vancouver 41 
Munich 4	Lyon 289 Kinshasa 626 Brussels 269 Akron 336 
Portland 5	Dallas 697 Sapporo 211 Bogota 49 Detroit 434 Campinas 124 
Brussels 5	Birmingham 713 Munich 269 Helsinki 498 Madrid 363 Pittsburgh 502 
Vienna 2	Taichung 358 Quito 326 
SanJose 4	Warsaw 426 Bangkok 243 Cleveland 207 VirginiaBeach 629 
Damman 4	Guadalajara 167 LosAngeles 434 Tampa 229 Aachen 632 
Copenhagen 3	Stockholm 393 Beirut 203 Akron 284 
Brisbane 1	Lumumbashi 413 
Riverside 2	RiodeJaneiro 320 Kolkata 320 
Cincinnati 4	Brasilia 210 Lahore 124 Toronto 592 Glasgow 734 
Accra 3	Birmingham 547 Harare 467 Taipei 620 
NizhniNovgorod 4	AbuDhabi 124 MexicoCity 278 Phoenix 652 CapeTown 776 
PhnomPenh 5	Osaka 566 Chicago 53 Tehran 86 KualaLumpur 645 Jeddah 136 
Quito 2	Vienna 326 Glasgow 630 
Leeds 2	Guadalajara 31 Cleveland 779 
Goiania 3	Chicago 42 Singapore 706 Albuquerque 675 
Donetsk 4	Athens 499 SanFrancisco 139 St.Louis 707 Bordeaux 434 
Stockholm 7	Tehran 354 Ankara 191 Manila 188 Tianjin 608 BeloHorizonte 725 Budapest 103 Copenhagen 393 
VirginiaBeach 4	SanJose 629 BuenosAires 259 Istanbul 762 Lille 143 
Sacramento 1	Singapore 560 
KansasCity 2	Detroit 99 Beijing 360 
Marseille 4	Vereeniging 382 Rochester 319 Budapest 371 BuenosAires 556 
Turin 3	Barcelona 455 Toulouse 548 ElPaso 753 
Lyon 6	Cologne 404 Denver 432 Johannesburg 342 Hyderabad 474 Munich 289 Nantes 128 
SanAntonio 7	Honolulu 763 Miami 615 BeloHorizonte 680 Katowice 391 Columbus 179 Buffalo 115 Sarasota 297 
Rotterdam 3	Tulsa 16 Louisville 96 Nantes 755 
LasVegas 3	OklahomaCity 484 Madrid 680 Jacksonville 255 
Milwaukee 2	Taipei 278 Birmingham 368 
Stuttgart 2	Birmingham 488 Essen 292 
Indianapolis 2	Tashkent 568 ElPaso 655 
Glasgow 7	Taichung 503 Quito 630 Cincinnati 734 Bangkok 20 SanJuan 232 Vancouver 418 PortElizabeth 525 
Lumumbashi 7	NewYork 607 Providence 478 Madrid 407 Rome 630 Brisbane 413 Buffalo 725 Bridgeport 339 
Perth 1	Dublin 417 
Providence 3	Tampa 205 Montreal 240 Lumumbashi 478 
Orlando 5	Karachi 721 Recife 549 Moscow 327 Hamburg 685 Albuquerque 625 
Columbus 4	Akron 737 SanAntonio 179 Nagoya 516 Athens 411 
Dublin 5	Philadelphia 570 Chennai 694 Bangkok 671 Perth 417 NewOrleans 310 
Auckland 2	Melbourne 436 Dubai 228 
Lille 7	VirginiaBeach 143 Osaka 705 NewYork 518 Shanghai 434 Essen 231 Santiago 350 Denver 800 
Porto 3	Jeddah 42 Miami 781 Nice 596 
NewOrleans 3	MexicoCity 388 Dublin 310 Rome 295 
Adelaide 3	Naples 320 Honolulu 507 Raleigh 280 
Helsinki 5	Lima 380 Durban 145 Fukuoka 489 BuenosAires 779 Brussels 498 
Buffalo 5	SanAntonio 115 Bangalore 387 Lumumbashi 725 MexicoCity 485 Minneapolis 108 
